scope,method,judge_a,judge_b,correlation,n_pairs
all,pearson,GPT-4.1,Claude-Opus-4.8,0.7595,35
all,pearson,GPT-4.1,DeepSeek-V3.1,0.6819,49
all,pearson,Claude-Opus-4.8,DeepSeek-V3.1,0.8611,98
all,spearman,GPT-4.1,Claude-Opus-4.8,0.3767,35
all,spearman,GPT-4.1,DeepSeek-V3.1,0.4343,49
all,spearman,Claude-Opus-4.8,DeepSeek-V3.1,0.6449,98
augmentation,pearson,GPT-4.1,Claude-Opus-4.8,0.8441,21
augmentation,pearson,GPT-4.1,DeepSeek-V3.1,0.6136,28
augmentation,pearson,Claude-Opus-4.8,DeepSeek-V3.1,0.8693,49
augmentation,spearman,GPT-4.1,Claude-Opus-4.8,0.5069,21
augmentation,spearman,GPT-4.1,DeepSeek-V3.1,0.3430,28
augmentation,spearman,Claude-Opus-4.8,DeepSeek-V3.1,0.6539,49
automation,pearson,GPT-4.1,Claude-Opus-4.8,0.6675,14
automation,pearson,GPT-4.1,DeepSeek-V3.1,0.8125,21
automation,pearson,Claude-Opus-4.8,DeepSeek-V3.1,0.8538,49
automation,spearman,GPT-4.1,Claude-Opus-4.8,0.2656,14
automation,spearman,GPT-4.1,DeepSeek-V3.1,0.5916,21
automation,spearman,Claude-Opus-4.8,DeepSeek-V3.1,0.6390,49
