scope,judge_a,judge_b,n_pairs,mean_abs_gap,within_one_share,method,correlation
all,Claude-Opus-4.8,DeepSeek-V3.1,98,2.0306122448979593,0.3979591836734694,spearman,0.46344145706219647
all,Claude-Opus-4.8,DeepSeek-V3.1,98,2.0306122448979593,0.3979591836734694,pearson,0.47085674132836763
all,Claude-Opus-4.8,google/gemini-3.1-pro,14,3.0714285714285716,0.21428571428571427,spearman,-0.01691180631899024
all,Claude-Opus-4.8,google/gemini-3.1-pro,14,3.0714285714285716,0.21428571428571427,pearson,-0.01429778472873645
all,Claude-Opus-4.8,GPT-4.1,35,2.2857142857142856,0.3142857142857143,spearman,0.0538144521724796
all,Claude-Opus-4.8,GPT-4.1,35,2.2857142857142856,0.3142857142857143,pearson,0.18518884329397317
all,DeepSeek-V3.1,google/gemini-3.1-pro,16,2.78125,0.25,spearman,0.2921933893101062
all,DeepSeek-V3.1,google/gemini-3.1-pro,16,2.78125,0.25,pearson,0.23813965695373418
all,DeepSeek-V3.1,GPT-4.1,49,2.3469387755102042,0.32653061224489793,spearman,0.19058520351321476
all,DeepSeek-V3.1,GPT-4.1,49,2.3469387755102042,0.32653061224489793,pearson,0.30114151508823833
all,google/gemini-3.1-pro,GPT-4.1,7,2.5,0.14285714285714285,spearman,-0.15713484026367724
all,google/gemini-3.1-pro,GPT-4.1,7,2.5,0.14285714285714285,pearson,-0.1097193288959132
augmentation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.7857142857142858,0.46938775510204084,spearman,0.4766899658076667
augmentation,Claude-Opus-4.8,DeepSeek-V3.1,49,1.7857142857142858,0.46938775510204084,pearson,0.482656121184328
augmentation,Claude-Opus-4.8,google/gemini-3.1-pro,7,4.285714285714286,0.0,spearman,-0.654330305081576
augmentation,Claude-Opus-4.8,google/gemini-3.1-pro,7,4.285714285714286,0.0,pearson,-0.7422473806549061
augmentation,Claude-Opus-4.8,GPT-4.1,21,2.1666666666666665,0.3333333333333333,spearman,0.17456229798408354
augmentation,Claude-Opus-4.8,GPT-4.1,21,2.1666666666666665,0.3333333333333333,pearson,0.20288688933653606
augmentation,DeepSeek-V3.1,google/gemini-3.1-pro,8,4.0,0.0,spearman,-0.3128893238787319
augmentation,DeepSeek-V3.1,google/gemini-3.1-pro,8,4.0,0.0,pearson,-0.33649667009455825
augmentation,DeepSeek-V3.1,GPT-4.1,28,2.5,0.32142857142857145,spearman,0.6620274115174825
augmentation,DeepSeek-V3.1,GPT-4.1,28,2.5,0.32142857142857145,pearson,0.685661515257812
augmentation,google/gemini-3.1-pro,GPT-4.1,4,3.25,0.0,spearman,0.05555555555555556
augmentation,google/gemini-3.1-pro,GPT-4.1,4,3.25,0.0,pearson,-0.05191394394794174
automation,Claude-Opus-4.8,DeepSeek-V3.1,49,2.2755102040816326,0.32653061224489793,spearman,0.5156486299609394
automation,Claude-Opus-4.8,DeepSeek-V3.1,49,2.2755102040816326,0.32653061224489793,pearson,0.47200014316289807
automation,Claude-Opus-4.8,google/gemini-3.1-pro,7,1.8571428571428572,0.42857142857142855,spearman,0.7363636363636364
automation,Claude-Opus-4.8,google/gemini-3.1-pro,7,1.8571428571428572,0.42857142857142855,pearson,0.7423231393832184
automation,Claude-Opus-4.8,GPT-4.1,14,2.4642857142857144,0.2857142857142857,spearman,
automation,Claude-Opus-4.8,GPT-4.1,14,2.4642857142857144,0.2857142857142857,pearson,
automation,DeepSeek-V3.1,google/gemini-3.1-pro,8,1.5625,0.5,spearman,0.7731370925362602
automation,DeepSeek-V3.1,google/gemini-3.1-pro,8,1.5625,0.5,pearson,0.7775743519391201
automation,DeepSeek-V3.1,GPT-4.1,21,2.142857142857143,0.3333333333333333,spearman,-0.6951149712278284
automation,DeepSeek-V3.1,GPT-4.1,21,2.142857142857143,0.3333333333333333,pearson,-0.7286895371900184
automation,google/gemini-3.1-pro,GPT-4.1,3,1.5,0.3333333333333333,spearman,-0.5000000000000001
automation,google/gemini-3.1-pro,GPT-4.1,3,1.5,0.3333333333333333,pearson,-0.5
