model_id,model_label,condition,avg_rank,avg_win_rate,std_rank,std_win_rate,total_wins,total_games
gpt-5.4,gpt-5.4,gpt-5.4,1.6666666666666667,0.8888888888888888,,,24.0,27.0
gpt-4.1,GPT-4.1,GPT-4.1,2.0,0.8518518518518517,,,23.0,27.0
o4-mini-2025-04-16,GPT-O4-Mini,GPT-O4-Mini,3.0,0.8148148148148149,,,22.0,27.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,DeepSeek-V3.1,3.5,0.7407407407407408,,,20.0,27.0
o3-mini-2025-01-31,GPT-O3-Mini,GPT-O3-Mini,4.833333333333333,0.5925925925925926,,,16.0,27.0
gemini-3.1-pro-preview,Gemini-3.1-Pro,Gemini-3.1-Pro,6.166666666666667,0.4074074074074074,,,11.0,27.0
claude-opus-4-6,Claude-Opus-4.6,Claude-Opus-4.6,6.833333333333333,0.3333333333333333,,,9.0,27.0
openai/gpt-oss-120b,GPT-OSS-120B,GPT-OSS-120B,8.0,0.2222222222222222,,,6.0,27.0
anthropic.claude-3-5-sonnet-20240620-v1:0,Claude-3.5-Sonnet,Claude-3.5-Sonnet,9.5,0.07407407407407407,,,2.0,27.0
gpt-3.5-turbo,GPT-3.5-Turbo,GPT-3.5-Turbo,9.5,0.07407407407407407,,,2.0,27.0
